Comment_Author,Comment_Text,Comment_Date,Like_Count
@indauchan,"Mình làm bên Trung Quốc, nếu được 1k tim mình sẽ mở bài này cho cả tòa chung cư cư dân người Trung xem, người Việt nói là làm",2026-05-28T16:46:13Z,3151
@tranchien9113,Nghỉ trưa mà vẫn c.à.y❤❤❤ ko thấy ai like nhỉ???,2026-05-29T06:31:33Z,519
@HuyenDoan-q3q,"yêu thế, càng nghe càng meeeee, nhất là accent Việt đặc trưng,❤❤❤❤❤❤❤❤❤❤❤❤❤❤",2026-06-03T02:15:23Z,1
@ChiNguyen-z3d2d,"00:15 vui vãi, hơn 100k cmt, tui k cô đơn trog đây vui như hội, điểm danh ạ ❤❤🎉🎉",2026-05-28T17:11:55Z,807
@khamphamoithu3407,"số người cày đêm ạ 
👇",2026-05-30T15:42:16Z,3170
@TracyEducation,Team sky UK 🥰,2026-05-28T17:54:20Z,359
@duythanh150,"Nhạc  st ảo nghe lần 1,2 bt . 5,6 lần êm luôn",2026-06-03T02:13:10Z,2
@ThanhDat-w1l,nếu bình luận này của tôi 500 like mai đuổi việc cũng ở nhà cày view cho sếp mãi là sky ❤🎉,2026-05-28T13:14:29Z,3933
@VănNguyễn-f4p1l,Mình đang ở Đức bình luận này bao nhiêu tim thì mình mở từng đấy lần bài này ở trường cho bọn tây nó bt đẳng cấp là như nào,2026-05-28T13:39:11Z,1815
@NanghatBallad,Mỗi lần có thông báo like comment này mình sẽ quay lại xem 1 lần,2026-05-28T14:43:17Z,1294
@chinhtran7425,❤❤❤❤🎉🎉🎉🎉Chúc mừng bài hát của Sếp đạt No.1 Global . Proud of Sơn Tùng M-TP ❤❤❤❤❤❤,2026-06-03T05:55:08Z,1
@Alice-kg5fm,"i've been following u for so long to hear this style of music 🙏🏻, i love it, keep it up, you're a perfect fit, 7-year love from Taiwan 😍👍🏻👍🏻",2026-05-28T13:49:58Z,132
@phamducanh7,"mình đang là du học sinh bên mỹ, cứ mỗi 1 tym mình sẽ nhắn tin ngẫu nhiên cho 1 ng bạn nước ngoài ngẫu nhiên của mình gửi bài này cho cno nghe! cùng đưa nhạc Sơn Tùng vươn thế giới nào mn ơii!!!",2026-05-28T13:33:02Z,6761
@minhkhoiphan2012,Bl này đc 10 tim cày view 1 ngày,2026-05-30T06:16:56Z,414
@DangHaivlogs,Tuyệt vời,2026-06-03T06:35:08Z,3
@zekkky2703,"Tyga used to be my idol back in 2019. Coincidentally, today someone I highly respect just collaborated with a Southeast Asian artist. Intrigued and genuinely surprised, I checked out M-TP's music videos, only to be even more blown away to find out that this guy had also collaborated with Snoop Dogg a true legend. On top of that, I was absolutely amazed by how breathtaking the scenery there is. Vietnamese people must be so proud to have such an all-around talent.",2026-05-28T13:17:06Z,745
@VietQuoc038,Cho mình xin những cánh tay nghe lại lần 2 lần 3 ạ !!! Skyyyy ơiiiii !!! Hit rồi,2026-05-28T13:07:41Z,1427
@DOfficial1-z9l,Điểm danh Sky sau 1 tiếng phát hành của sếp nào Sky ơiiiiiiii❤,2026-05-28T14:07:37Z,193
@VietNguyen-jf5yo,Càng nghe càng nghiền,2026-06-03T01:01:50Z,2
@ĐứcquyennN,9 triệu rồi ae đẩy mạnh lên,2026-05-29T02:40:40Z,294
@emgaimeballad,"Theo dõi Sơn Tùng M-TP nhiều năm mới thấy hiếm ai giữ được sức hút như vậy. Từ âm nhạc tới cách làm showbiz đều có chất riêng. Come My Way mới chỉ teaser thôi mà đã khiến mình rùng mình nhiều lần, cảm giác lần comeback này sẽ rất khác 👀! Chúc cho bài nhạc được top 1 trending nhanh nhất Việt Nam ❤❤❤",2026-05-28T10:16:58Z,2032
@AnhMinh-gm9nu,Quá tuyệt,2026-06-03T01:33:17Z,2
