Comment_Author,Comment_Text,Comment_Date,Like_Count
@nusunterikx,devs opened blender and were like: hmm the default cube? keep it!,2026-06-05T10:11:42Z,190
@bonelesschickennuggets1868,"Ahh I get it, so this is the god's afterlife Odin was so obsessed to know about, and the mask he had as the only proof of it existing are the ones present in here. 

Glad to know that plotline isn't abandoned, just left for a another game to expand upon.",2026-06-03T23:01:05Z,64
@SICRoosterKido,That looks amazing,2026-06-09T09:03:21Z,2
@BastardziRPG,Laufey May Cry,2026-06-03T15:11:38Z,473
@Moefongoe,That tufu cube hiting the boss like a beach ball to the face,2026-06-04T14:32:58Z,257
@YaBoiDoi,"""Oh yeah ok so if we add a cube to this game just hear me out now.""",2026-06-04T06:35:26Z,389
@phonsiettacline-williams4037,The way Faye woke up reminds me of that meme about waking mom vs waking dad 😂😂😂😂.,2026-06-08T10:29:10Z,90
@psgproductionanvproduction261,I love this perspective of “Resting in peace”,2026-06-04T10:31:52Z,593
@ZerO19-s,2:54 mom I missed the bus.,2026-06-03T03:04:20Z,323
@jesusabueno1701,"What if when Odin peaked into the rift in his study, Faye was on the otherside and poked his eye out?",2026-06-03T02:21:02Z,455
@SaltedPepper101,This is genuinely insane holy,2026-06-07T21:52:09Z,56
@khanjandabhi7397,That time I Got Reincarnated As A Cube,2026-06-03T06:02:53Z,266
@starrrwave,We got Mom of Boy before GTA 6,2026-06-03T08:30:26Z,590
@shahzodshodmonov550,",, Watch your tone CUBE''",2026-06-03T00:43:37Z,654
@lazerfazer,This actually looks like a movie game,2026-06-09T05:37:48Z,22
@laparkagames9277,So we're not going to talk about the mind-blowing visuals?  This is what I expected from PS4 to PS5 from the beginning.,2026-06-02T23:49:15Z,573
@Osirisalpha1,"2018: Hughie
2026: Cubhie",2026-06-04T03:52:45Z,473
@justinlachica4156,"""Find your way home, you are FREE.""
 - Kratos",2026-06-08T14:13:45Z,0
@trofimusagvint2299,She took kratos agility to the after life 😭,2026-06-03T03:09:37Z,470
@GOW_Kratos,People tend to forget that she went toe to toe with Thor and Kratos,2026-06-03T17:32:19Z,501
@TheFuriousJ,Meeting the Egyptian (Sekhmet)and Mongolian(Begtse) GODS OF WAR off Rip is pure GOLD!,2026-06-03T03:09:14Z,928
@AbarajameLabanyera,"1. Designers need new character.
2. Designers open new document in Blender.
3. Character completed.",2026-06-08T22:18:05Z,1
@raohkenjo6999,the meeting with Ares is gonna be an interesting dialogue,2026-06-03T05:19:19Z,254
@greenboss518,Do not let Kratos see 11:29,2026-06-03T11:48:10Z,35
@tahtabenu5046,"So that's what Kratos meant by, ""She fought beautifully.""",2026-06-03T06:44:21Z,392
@ngussie84,TAKE MY MONEY NOW!,2026-06-07T20:41:04Z,8
@Randomly.assembled.molecules,"The game no one was expecting,  everyone was saying next will be the boy's journey",2026-06-03T07:14:03Z,274
@diegoluna2549,"Kratos made it very clear that he was obsessed with his wife's strength, and he wasn't joking.",2026-06-03T06:52:31Z,252
@levisius4160,Laufey has upskilled from a top selling musician to top selling video game,2026-06-02T22:21:49Z,176
@Ray_Nightfall,"Man, it's going to be so cinematic when both she and kratos fight together.",2026-06-07T21:54:19Z,83
@marloncarpio8311,"""The afterlife for the gods""

Faye is going to meet THE family

Edit: I accidentally thought her name was Freya and I edited it out. Really sorry, it’s been years since I’ve played the Norse saga 😭🙏",2026-06-03T04:19:45Z,402
